題號,模式,範圍,題目,選擇題,答案,官方解釋,教師解釋
B811,基礎模式,科目二（01）生成式 AI 基礎技術,下列何者屬於生成式 AI 的應用？,（A）自動駕駛；（B）圖片生成；（C）垃圾郵件分類；（D）信用卡風險評估,B｜圖片生成,生成式 AI（Generative AI）的核心能力是根據既有資料中學習到的分布與模式，產生新的內容，例如文字、圖片、音訊、影片或程式碼。圖片生成正是典型的生成式 AI 應用；自動駕駛、垃圾郵件分類與信用卡風險評估則主要屬於感知、分類或預測任務。,可以把生成式 AI 想成「不是只判斷已有的東西，而是能創造新的內容」。例如輸入「一隻穿太空衣的貓站在月球上」，系統可以產生一張原本不存在的新圖片，這就是圖片生成。垃圾郵件分類是在判斷類別，信用卡風險評估是在做預測，自動駕駛則是感知與決策整合。**能生成新的文字、圖片、聲音等內容＝Generative AI。**所以答案是（B）。
B812,基礎模式,科目二（01）生成式 AI 基礎技術,Transformer 在 NLP 中的優勢為何？,（A）處理長距離依賴能力強；（B）運算速度慢；（C）只能處理影像資料；（D）需要大量標籤資料,A｜處理長距離依賴能力強,Transformer 在自然語言處理（NLP）中的重要優勢之一，是透過 Self-Attention 機制直接建模序列中不同位置之間的關聯，因此能有效處理長距離依賴（Long-range Dependencies）。相較於傳統 RNN 類模型，Transformer 也具有較佳的平行運算能力，並非只能處理影像，也不代表一定需要大量人工標註資料。,可以把 Transformer 想成「讀一篇很長的文章時，前面講過的重要內容到後面還能直接連回來看」。例如一句話最後出現「他」，模型可以透過 Self-Attention 找到前面真正對應的人名，而不用像傳統 RNN 一樣一步一步把資訊往後傳。這就是它處理長距離關係的重要優勢。**Self-Attention＋直接連結遠距資訊＝強大的長距離依賴處理能力。**所以答案是（A）。
B813,基礎模式,科目二（01）生成式 AI 基礎技術,GAN 的兩個主要組件為何？,（A）生成器與鑑別器；（B）編碼器與解碼器；（C）輸入層與輸出層；（D）特徵與標籤,A｜生成器與鑑別器,"生成對抗網路（Generative Adversarial Network, GAN）主要由生成器（Generator）與鑑別器／判別器（Discriminator）兩個神經網路組成。生成器負責產生接近真實資料分布的新樣本，鑑別器則負責判斷輸入資料是真實資料還是生成資料，兩者透過對抗式訓練不斷提升彼此能力。",可以把 GAN 想成「一個負責造假，一個負責抓假貨」。Generator 想辦法生成越來越逼真的圖片，Discriminator 則努力分辨這張圖是真的還是 AI 生成的；生成器為了騙過鑑別器，就會持續改善生成品質。（B）的 Encoder＋Decoder 比較典型地出現在 Autoencoder。**Generator 負責生成＋Discriminator 負責辨別＝GAN。**所以答案是（A）。
B814,基礎模式,科目二（01）生成式 AI 基礎技術,多模態 AI 能處理哪些資料？,（A）單一型態資料；（B）同類型多份資料；（C）不同型態資料；（D）只處理語音,C｜不同型態資料,多模態人工智慧（Multimodal AI）是指能夠處理、理解或整合兩種以上不同資料模態（Modality）的 AI 系統，例如文字、影像、語音、影片等。其核心能力不只是同時取得多份資料，而是能跨不同資料型態建立關聯並進行共同分析或生成。,可以把 Multimodal AI 想成「AI 不只會看文字，還能同時看圖片、聽聲音，甚至理解影片」。例如你傳一張照片再用文字問「這張圖片裡的人正在做什麼？」，系統需要同時理解影像與文字，這就是多模態能力。多份文字仍然只是同一種模態，不算這題強調的 Multimodal。**文字＋影像＋語音等不同資料型態整合處理＝Multimodal AI。**所以答案是（C）。
B815,基礎模式,科目二（01）生成式 AI 基礎技術,下列何者屬於生成式 AI 的應用？,（A）文字生成；（B）資料清理；（C）資料庫查詢；（D）程式除錯,A｜文字生成,生成式 AI（Generative AI）的核心能力，是根據既有資料中學習到的模式與分布，產生新的文字、圖片、音訊、影片或程式碼等內容。文字生成正是最典型的生成式 AI 應用之一；資料清理與資料庫查詢主要屬於資料處理工作，程式除錯雖可由生成式 AI 協助，但其本身不是此題最直接的生成任務。,可以把 Generative AI 想成「AI 會自己產生新的內容」。例如你輸入一個主題，系統可以自動寫出文章、摘要、Email 或故事，這就是文字生成。資料清理是在整理既有資料，資料庫查詢是在找資料，並不是主要的「生成新內容」。**產生新的文字內容＝生成式 AI。**所以答案是（A）。
B816,基礎模式,科目二（01）生成式 AI 基礎技術,Transformer 架構的主要特點為何？,（A）基於注意力機制；（B）僅用於影像辨識；（C）依賴循環神經網路；（D）無法並行運算,A｜基於注意力機制,Transformer 架構的核心特點是以注意力機制（Attention Mechanism），尤其是自注意力（Self-Attention），來計算輸入序列中不同位置之間的關聯與重要性。相較於傳統 RNN，Transformer 不必依靠循環結構逐步處理序列，因此具有較佳的平行運算能力，並廣泛應用於自然語言、影像與多模態任務。,可以把 Transformer 想成「不是一個字一個字慢慢往後傳，而是一次看整段內容，判斷哪些資訊彼此最重要」。例如讀一句長句子時，Self-Attention 可以直接找出前後相隔很遠但彼此相關的詞，不必像 RNN 一樣逐步傳遞資訊。它不只用在影像，也不是依賴 RNN，而且反而很適合平行運算。**Self-Attention＋可並行處理＋捕捉長距離關聯＝Transformer。**所以答案是（A）。
B817,基礎模式,科目二（01）生成式 AI 基礎技術,生成對抗網路（GAN）主要由哪兩部分組成？,（A）生成器與判別器；（B）輸入層與輸出層；（C）資料庫與伺服器；（D）監督器與測試器,A｜生成器與判別器,"生成對抗網路（Generative Adversarial Network, GAN）主要由生成器（Generator）與判別器（Discriminator）兩個神經網路組成。生成器負責產生接近真實資料分布的新樣本，判別器則負責判斷輸入資料是真實資料還是生成資料，兩者透過對抗式訓練持續改善生成品質。",可以把 GAN 想成「一個負責造假，一個負責抓假貨」。Generator 努力產生越來越逼真的圖片或其他內容，Discriminator 則判斷這些內容到底是真的還是 AI 生成的；兩者互相競爭後，生成器會越來越厲害。**Generator 負責生成＋Discriminator 負責判別＝GAN。**所以答案是（A）。
B818,基礎模式,科目二（01）生成式 AI 基礎技術,生成式 AI 的主要功能為何？,（A）產生新內容；（B）分類資料；（C）壓縮檔案；（D）監控網路流量,A｜產生新內容,生成式 AI（Generative AI）的主要功能，是從既有資料中學習模式與分布，進而產生新的文字、圖片、音訊、影片或程式碼等內容。它與傳統分類或預測型 AI 的主要差異，在於輸出重點是「創造新的內容」，而不是只對既有資料進行分類或判斷。,可以把生成式 AI 想成「不是只回答這是什麼，而是能直接創造一個新的東西出來」。例如輸入一句描述後生成文章、圖片、音樂或程式碼，這些都屬於 Generative AI。分類資料是在判斷既有資料屬於哪一類，壓縮檔案和監控流量也不是生成式 AI 的核心功能。**學習既有資料模式＋產生全新內容＝Generative AI。**所以答案是（A）。
B819,基礎模式,科目二（01）生成式 AI 基礎技術,下列何者不是生成式 AI 的應用？,（A）圖片生成；（B）語音合成；（C）天氣預測；（D）文章撰寫,C｜天氣預測,生成式 AI（Generative AI）主要用於產生新的文字、圖片、語音、音樂、影片或程式碼等內容。圖片生成、語音合成與文章撰寫都屬於典型生成式 AI 應用；天氣預測則主要是根據歷史與即時氣象資料進行預測分析，屬於預測型 AI，而非以生成新內容為核心的應用。,可以把生成式 AI 想成「重點是創造新的內容」。圖片生成是在創造新圖片、語音合成是在產生新的語音、文章撰寫是在生成新的文字；天氣預測則是在利用資料推估未來溫度、降雨或風勢，不是創作內容。**產生新內容＝Generative AI；預測未來數值或狀態＝Predictive AI。**所以答案是（C）。
B820,基礎模式,科目二（01）生成式 AI 基礎技術,GAN 的中文全稱為何？,（A）生成對抗網路；（B）生成對抗神經；（C）高精度分析網路；（D）廣域應用網路,A｜生成對抗網路,GAN 的英文全名為 Generative Adversarial Network，中文通常翻譯為「生成對抗網路」。它主要由生成器（Generator）與判別器（Discriminator）組成，透過兩者相互對抗的訓練方式，使生成器逐步產生更接近真實資料分布的新樣本。,可以直接拆開 GAN 三個字來記：Generative＝生成、Adversarial＝對抗、Network＝網路，合起來就是「生成對抗網路」。它的核心概念是一個 Generator 負責生成內容，另一個 Discriminator 負責判斷真假，兩邊互相競爭。**GAN＝Generative Adversarial Network＝生成對抗網路。**所以答案是（A）。
B821,基礎模式,科目二（01）生成式 AI 基礎技術,Transformer 架構主要應用於下列哪一類 AI 模型？,（A）自然語言處理；（B）影像壓縮；（C）硬體設計；（D）資料庫索引,A｜自然語言處理,"Transformer 架構最初因自然語言處理（Natural Language Processing, NLP）任務而受到廣泛應用，其核心的 Self-Attention 機制能有效捕捉文字序列中不同位置之間的關聯，並處理長距離依賴問題。後續 Transformer 也被延伸至影像、語音與多模態等領域，但就此題選項而言，自然語言處理是最正確的答案。",可以把 Transformer 想成「現在大型語言模型最重要的基礎架構之一」。例如文章中前面提到「小明」，後面隔了很長一段又出現「他」，Self-Attention 能直接分析這些遠距文字之間的關係，因此非常適合 NLP。要注意 Transformer 現在並不是「只能」處理文字，也能應用於 Vision Transformer 等影像模型，但四個選項中只有 NLP 符合主要 AI 應用。**Transformer＋Self-Attention＋文字長距離關聯＝NLP 的重要模型架構。**所以答案是（A）。
B822,基礎模式,科目二（01）生成式 AI 基礎技術,訓練生成式 AI 模型通常需要下列何者？,（A）大量資料與運算資源；（B）隨機測試資料；（C）低解析度圖片；（D）硬體冷卻系統,A｜大量資料與運算資源,訓練大型生成式 AI 模型通常需要大量且多樣化的訓練資料，以及相當可觀的 GPU、TPU 等運算資源，用於處理龐大的模型參數與大量矩陣運算。資料規模、模型大小與訓練方法會影響實際資源需求，但相較於一般傳統機器學習，大型生成式模型通常需要更高的資料與運算成本。,可以把生成式 AI 訓練想成「要讓模型看很多資料，而且還要有很強的電腦幫它反覆練習」。例如大型語言模型可能需要處理非常大量的文字資料，再利用大量 GPU 進行參數更新；影像生成模型同樣需要大量圖片與高效能運算。硬體冷卻雖然大型資料中心確實需要，但那是硬體基礎設施問題，不是這題要考的模型訓練核心條件。**大量訓練資料＋大量計算資源＝生成式 AI 模型訓練的重要需求。**所以答案是（A）。
B823,基礎模式,科目二（01）生成式 AI 基礎技術,語音轉文字（STT）屬於下列哪一類 AI 應用？,（A）生成式；（B）辨識式；（C）控制式；（D）壓縮式,B｜辨識式,"語音轉文字（Speech-to-Text, STT），又稱自動語音辨識（Automatic Speech Recognition, ASR），主要功能是辨識人類語音中的聲學與語言資訊，並將其轉換為文字。因此它屬於辨識式 AI 應用，而不是以創造全新內容為主要目的的生成式 AI。",可以把 STT 想成「AI 聽你說話，再把聽到的內容打成文字」。例如你對手機說「明天下午三點開會」，系統辨識聲音後轉成相對應的文字，這就是 Speech-to-Text。它的重點是辨識既有語音內容，不是自己創造一段新的語音或文章。**語音輸入＋辨識內容＋轉成文字＝STT／ASR，屬於辨識式 AI。**所以答案是（B）。
B824,基礎模式,科目二（01）生成式 AI 基礎技術,下列何者屬於生成式 AI 的圖片應用？,（A）自動影像著色；（B）圖片壓縮；（C）影像裁切；（D）影像旋轉,A｜自動影像著色,自動影像著色（Automatic Image Colorization）可利用生成式模型根據灰階影像的內容與所學習到的影像分布，產生合理的色彩資訊並形成新的彩色影像，因此屬於生成式 AI 的影像應用。圖片壓縮、裁切與旋轉則主要屬於影像處理或轉換操作，通常不涉及模型生成新的語意內容。,可以把自動影像著色想成「AI 看一張黑白照片後，自己推測天空、衣服、皮膚等區域應該是什麼顏色，再生成彩色版本」。因為原本圖片中沒有這些色彩資訊，AI 必須根據學到的影像模式把顏色補出來，所以具有生成性質。圖片裁切、旋轉只是改變原本圖片的位置或方向，壓縮則是減少資料量。**原本沒有色彩＋AI 預測並生成色彩內容＝生成式影像應用。**所以答案是（A）。
B825,基礎模式,科目二（01）生成式 AI 基礎技術,擴散模型（Diffusion Model）最常應用於下列何者？,（A）高品質影像生成；（B）壓縮音訊；（C）資料加密；（D）網路傳輸,A｜高品質影像生成,擴散模型（Diffusion Model）是一類重要的生成式模型，其核心概念是先對資料逐步加入雜訊，再學習反向去雜訊（Denoising）過程，使模型能從隨機雜訊逐步生成符合資料分布的新內容。擴散模型特別廣泛應用於高品質影像生成、文字生成影像與影像編輯，因此答案為高品質影像生成。,可以把 Diffusion Model 想成「從一團雜訊開始，一步一步把圖片『洗』出來」。例如輸入「下雨天的台北街景」後，模型一開始可能只有隨機雜訊，再經過多次 Denoising，逐漸形成道路、建築、人物與雨景。它的典型用途不是資料加密或網路傳輸。**隨機雜訊＋逐步去雜訊＋產生高品質新影像＝Diffusion Model。**所以答案是（A）。
B826,基礎模式,科目二（01）生成式 AI 基礎技術,ChatGPT 主要採用下列哪一種模型架構？,（A）Transformer；（B）卷積神經網路；（C）循環神經網路；（D）貝氏網路,A｜Transformer,ChatGPT 的核心模型架構屬於 Transformer。Transformer 以注意力機制（Attention Mechanism），尤其是自注意力（Self-Attention），來建模文字序列中不同位置之間的關聯，能有效處理長距離語意依賴並支援高度平行化運算。GPT 名稱中的 Transformer 即代表其建立在 Transformer 架構之上。,可以直接從 GPT 的名稱來記：GPT＝Generative Pre-trained Transformer，最後一個 T 就是 Transformer。它不像傳統 RNN 必須按照序列一步一步處理文字，而是利用 Self-Attention 分析不同 Token 之間的重要關係，因此更能處理長篇文字與上下文關聯。CNN 主要源自影像處理，RNN 是較早期常見的序列架構。**GPT 名稱中的 T＝Transformer＋Self-Attention＝ChatGPT 的核心模型架構。**所以答案是（A）。
B827,基礎模式,科目二（01）生成式 AI 基礎技術,在 GAN 中，判別器的主要任務為何？,（A）判斷資料真偽；（B）生成新數據；（C）壓縮圖片；（D）翻譯文字,A｜判斷資料真偽,"在生成對抗網路（Generative Adversarial Network, GAN）中，判別器（Discriminator）的主要任務是判斷輸入資料來自真實資料集，還是由生成器（Generator）產生的偽造資料。透過與生成器反覆對抗訓練，判別器提升辨識真偽的能力，同時也迫使生成器產生更逼真的新資料。",可以把 GAN 想成「Generator 負責造假，Discriminator 負責抓假貨」。例如生成器做出一張假的人臉照片，判別器就要判斷這張圖是真的照片還是 AI 生成的；生成器為了騙過判別器，就會持續改善品質。判別器本身不是主要負責生成資料的角色。**判斷真實資料或生成資料＝Discriminator 的核心任務。**所以答案是（A）。
B828,基礎模式,科目二（01）生成式 AI 基礎技術,微調（Fine-tuning）模型的目的為何？,（A）讓模型適應特定任務；（B）增加運算速度；（C）減少資料量；（D）降低硬體耗能,A｜讓模型適應特定任務,微調（Fine-tuning）的主要目的，是在已經完成預訓練（Pre-training）的模型基礎上，使用特定領域或特定任務的資料進一步調整模型參數，使模型更適應目標任務。Fine-tuning 常與遷移學習搭配使用，可在不必完全從零訓練的情況下，提升模型在特定應用情境中的表現。,可以把 Fine-tuning 想成「模型已經有基本功，再針對某個工作做專項訓練」。例如一個大型語言模型原本懂很多一般知識，再用客服對話資料微調，就能讓它更適合回答客服問題；影像模型也可以用少量醫療影像微調成疾病辨識模型。它的主要目的不是讓運算速度變快或降低硬體耗能。**預訓練模型＋特定任務資料再訓練＝讓模型適應特定任務。**所以答案是（A）。
B829,基礎模式,科目二（01）生成式 AI 基礎技術,下列何者屬於生成式 AI 的音樂應用？,（A）自動作曲；（B）音訊壓縮；（C）降噪處理；（D）聲音放大,A｜自動作曲,自動作曲屬於生成式 AI（Generative AI）的典型音樂應用，模型會從大量音樂資料中學習旋律、節奏、和聲與曲式等模式，再產生原本不存在的新旋律或完整樂曲。音訊壓縮、降噪與聲音放大則主要屬於音訊訊號處理，而非以創造全新內容為核心的生成任務。,可以把生成式 AI 的音樂應用想成「AI 不只是把原本的聲音修好，而是真的創作一首新的音樂」。例如先讓模型學習大量鋼琴曲，再要求它產生一段新的旋律，這就是自動作曲。降噪是在把雜音移除、壓縮是在減少檔案大小、聲音放大只是提高音量。**學習既有音樂模式＋產生全新旋律＝生成式 AI 的自動作曲。**所以答案是（A）。
B830,基礎模式,科目二（01）生成式 AI 基礎技術,大型語言模型（LLM）在訓練過程中主要依賴下列何種技術？,（A）自注意力機制；（B）影像卷積；（C）硬體編碼；（D）低頻過濾,A｜自注意力機制,"現代大型語言模型（Large Language Model, LLM）多以 Transformer 為核心架構，而 Transformer 的關鍵技術之一就是自注意力機制（Self-Attention）。Self-Attention 能計算文字序列中不同 Token 彼此之間的關聯與重要性，使模型有效學習上下文與長距離語意關係；影像卷積、硬體編碼與低頻過濾並非 LLM 語言建模的核心技術。",可以把 Self-Attention 想成「模型讀一句話時，會自己判斷每個字現在最應該注意前後哪些字」。例如文章前面出現一個人名，後面隔很久才出現「他」，Self-Attention 可以直接建立兩者之間的關聯，而不必只靠逐字往後傳遞資訊。這也是 Transformer 能有效處理長篇上下文的重要原因。**LLM＋Transformer＋計算 Token 彼此關聯＝Self-Attention。**所以答案是（A）。
B831,基礎模式,科目二（01）生成式 AI 基礎技術,生成式 AI 的濫用可能加劇下列何種社會問題？,（A）假新聞傳播；（B）網速下降；（C）電費增加；（D）硬體損壞,A｜假新聞傳播,生成式 AI（Generative AI）可以快速產生大量文字、圖片、影音與語音內容，因此若遭到濫用，可能被用來製作虛假新聞、偽造影像或大量誤導性資訊，進而加速錯假資訊的傳播。網速下降、電費增加或硬體損壞可能與資訊系統運作有關，但並非生成式 AI 濫用最具代表性的社會問題。,可以把生成式 AI 的風險想成「以前做一篇假新聞可能要花很多時間，現在 AI 幾秒鐘就能大量生產看起來很真的內容」。例如自動寫出假的新聞報導、生成不存在的事件照片，再透過社群平台大量散布，就可能讓民眾更難分辨真偽。這才是生成式 AI 在社會層面的典型濫用風險。**大量生成逼真虛假內容＋快速散布＝加劇假新聞與錯假資訊問題。**所以答案是（A）。
B832,基礎模式,科目二（01）生成式 AI 基礎技術,Stable Diffusion 主要應用於下列何者？,（A）圖像生成；（B）語音合成；（C）資料壓縮；（D）影片剪輯,A｜圖像生成,Stable Diffusion 是以擴散模型（Diffusion Model）為核心的生成式 AI 技術，主要用於根據文字提示或其他條件生成新的影像，也可延伸應用於影像修改、局部重繪與風格生成等工作。其主要用途並不是語音合成、資料壓縮或一般影片剪輯。,可以把 Stable Diffusion 想成「輸入一段文字描述，AI 就幫你把畫面生成出來」。例如輸入「夜晚的台北街頭，日系插畫風格」，模型就能從雜訊逐步生成符合描述的新圖片。它的核心是 Diffusion Model，因此最典型的應用就是 AI 圖像生成。**文字提示＋擴散模型＋產生新圖片＝Stable Diffusion。**所以答案是（A）。
B833,基礎模式,科目二（01）生成式 AI 基礎技術,以下哪個應用最不屬於生成式 AI 以產生內容為核心的典型任務？,（A）信用卡盜刷風險分數預測；（B）自動畫圖；（C）自動作曲；（D）文字生成,A｜信用卡盜刷風險分數預測,信用卡盜刷風險分數預測屬於預測型或判別型 AI 任務，主要目的是根據交易特徵估計詐欺風險，而不是產生新的內容。相較之下，自動畫圖、自動作曲與文字生成都屬於生成式 AI（Generative AI）的典型應用，核心在於根據所學模式產生新的影像、音樂或文字。,可以把生成式 AI 想成「重點是創造新的東西」。自動畫圖會產生新圖片、自動作曲會產生新音樂、文字生成會產生新文章；但信用卡盜刷風險分數只是根據既有交易資料算出「這筆有多可疑」，本質上是在做預測。**產生新內容＝Generative AI；估計風險分數＝Predictive AI。**所以答案是（A）。
B834,基礎模式,科目二（01）生成式 AI 基礎技術,在大型語言模型（LLM）中，溫度參數的主要作用為何？,（A）控制輸出多樣性；（B）加快運算；（C）提高精度；（D）減少記憶體使用,A｜控制輸出多樣性,在大型語言模型中，溫度參數（Temperature）主要用來調整下一個 Token 機率分布的平坦或集中程度，進而控制輸出的隨機性與多樣性。較低的 Temperature 通常讓模型偏向選擇高機率 Token，輸出較穩定一致；較高的 Temperature 則會增加低機率 Token 被選中的機會，使結果更具變化與創意。,可以把 Temperature 想成「控制 AI 回答有多保守或多敢變化」。溫度低時，模型比較常選最可能的字，所以回答通常穩定、可預期；溫度提高後，會有更多不同 Token 有機會被選到，因此答案可能更有創意，但也更不穩定。它不是拿來加快運算、提高模型本身精度或減少記憶體。**低 Temperature＝穩定保守；高 Temperature＝多樣隨機。**所以答案是（A）。
B835,基礎模式,科目二（01）生成式 AI 基礎技術,在生成式 AI 中，Token 通常是指下列何者？,（A）最小的文字單位；（B）模型大小單位；（C）運算速度單位；（D）硬體記憶單位,A｜最小的文字單位,在生成式 AI 與大型語言模型中，Token 是模型處理文字時所使用的基本單位，可能是一個完整單字、單字的一部分、中文字元、標點符號或其他文字片段，實際切分方式取決於 Tokenizer。題目以「最小的文字單位」描述 Token，雖然是簡化說法，但在此選項中最符合其核心概念。,可以把 Token 想成「模型讀文字時，不是直接把整句話一次吃進去，而是先切成一小塊一小塊來處理」。英文一個單字有時可能被切成數個 Token，中文則可能一個字或數個字形成 Token，所以它不一定等於「一個字」。它和模型大小、運算速度或記憶體單位都不同。**文字先經 Tokenizer 切分＋模型以 Token 為基本處理單位＝Token。**所以答案是（A），但要注意「最小文字單位」是考題中的簡化表述。
B836,基礎模式,科目二（01）生成式 AI 基礎技術,影片逐格補幀技術屬於下列哪一類 AI 應用？,（A）生成式；（B）辨識式；（C）控制式；（D）監控式,A｜生成式,影片補幀（Frame Interpolation）是利用模型根據前後影格內容，推估並生成原本不存在的中間影格，使影片播放更流暢或提升幀率。因此其核心涉及「生成新的影像影格」，在題目提供的分類中屬於生成式 AI 應用。,可以把影片補幀想成「原本只有第 1 格和第 3 格，AI 幫你猜出中間第 2 格應該長什麼樣子」。例如原本 30 FPS 的影片，AI 可以根據前後畫面中的人物移動、物體位置與運動軌跡，生成中間影格，讓影片看起來更順。這不是單純辨識畫面裡有什麼，而是在產生原本不存在的新影格。所以答案是（A）生成式。
B837,基礎模式,科目二（01）生成式 AI 基礎技術,生成式 AI 的可解釋性主要是指下列何者？,（A）能夠理解模型決策過程；（B）減少記憶體使用；（C）加快生成速度；（D）提高畫質,A｜能夠理解模型決策過程,生成式 AI 的可解釋性（Explainability）是指能夠理解或說明模型為何產生特定輸出，以及哪些輸入資訊、特徵或內部機制對結果產生較大的影響。可解釋性主要關注模型決策與生成過程的透明程度，與記憶體使用量、生成速度或影像畫質並非同一概念。,可以把 Explainability 想成「AI 不只要給答案，還要盡可能說得出為什麼會得到這個答案」。例如生成式 AI 產生某段判斷或內容後，使用者希望知道模型主要參考了哪些輸入資訊、哪些因素影響結果，這就是可解釋性問題。減少記憶體、加快速度與提高畫質都是系統效能議題，不是在解釋模型。**能理解或說明模型為什麼產生這個結果＝Explainability。**所以答案是（A）。
B838,基礎模式,科目二（01）生成式 AI 基礎技術,下列何者屬於多模態生成的應用？,（A）文字轉圖片；（B）文字分類；（C）圖片壓縮；（D）語音辨識,A｜文字轉圖片,多模態生成（Multimodal Generation）是指 AI 能處理或轉換不同資料模態，例如文字、影像、語音等，並由一種模態的輸入生成另一種模態的內容。「文字轉圖片（Text-to-Image）」以文字作為輸入、產生影像作為輸出，涉及兩種不同資料模態，因此是典型的多模態生成應用。,可以把 Multimodal 想成「不同種類的資料彼此轉換或一起合作」。例如你輸入「一隻柴犬在海邊衝浪」這段文字，AI 最後生成一張圖片，輸入是文字、輸出是影像，所以跨越了兩種 Modality。文字分類只有文字輸入與類別輸出，圖片壓縮主要是影像處理，語音辨識則偏向把聲音內容辨識出來。**文字輸入＋影像生成＝跨模態的 Text-to-Image＝多模態生成。**所以答案是（A）。
B839,基礎模式,科目二（01）生成式 AI 基礎技術,生成式 AI 模型部署前，應先完成下列何項工作？,（A）測試與驗證；（B）降頻處理；（C）重啟伺服器；（D）格式轉換,A｜測試與驗證,生成式 AI 模型在正式部署前，應先完成測試與驗證（Testing and Validation），確認模型在功能、準確性、穩定性、安全性與預期使用情境下的表現是否符合需求。尤其生成式 AI 還需要檢查是否容易產生錯誤資訊、有害內容、偏見或不符合規範的輸出，確認風險可接受後再進入正式環境。,可以把模型部署想成「正式上線前一定要先試車，不能做完就直接讓客戶使用」。例如聊天機器人要先測試它會不會答非所問、產生不當內容、洩漏敏感資訊，系統也要確認負載與回應是否穩定。降頻、重啟伺服器或格式轉換都不是部署前最核心的必要工作。**模型完成＋測試功能與風險＋確認符合需求後再上線＝Testing and Validation。**所以答案是（A）。
B840,基礎模式,科目二（01）生成式 AI 基礎技術,文字生成聊天機器人屬於下列哪一類 AI 應用？,（A）生成式；（B）分類式；（C）辨識式；（D）監控式,A｜生成式,文字生成聊天機器人的主要功能，是根據使用者輸入產生新的自然語言回覆，因此屬於生成式 AI（Generative AI）應用。它與分類式 AI 的類別判斷、辨識式 AI 的內容辨識，以及監控式系統的狀態偵測不同，其核心輸出是新生成的文字內容。,可以把文字聊天機器人想成「你問一句，它不是只幫你分類，而是直接產生一段新的回答」。例如你問旅遊規劃，它可以生成行程建議；你請它寫摘要，它會產生新的文字內容。這種「創造文字輸出」就是生成式 AI 的典型特徵。**輸入文字＋產生新的文字回覆＝Generative AI。**所以答案是（A）。
B841,基礎模式,科目二（01）生成式 AI 基礎技術,微調大型語言模型時，僅更新部分參數的方法稱為下列何者？,（A）參數高效微調；（B）全量訓練；（C）數據蒸餾；（D）零樣本學習,A｜參數高效微調,"參數高效微調（Parameter-Efficient Fine-Tuning, PEFT）是指在大型預訓練模型進行微調時，不更新全部模型參數，而是只訓練少量新增或選定的參數，以降低運算量、顯示記憶體需求與儲存成本。常見方法包括 LoRA、Adapter、Prefix Tuning 等，特別適合大型語言模型的特定任務適應。",可以把 PEFT 想成「大型模型不用整台拆掉重練，只調整少數關鍵零件」。大型語言模型可能有數十億甚至更多參數，如果全部更新，訓練成本非常高；PEFT 會凍結大部分原始參數，只訓練少量額外參數，就能讓模型學習新任務。全量訓練則會更新大量甚至全部模型權重。**只更新少部分參數＋降低微調成本＝Parameter-Efficient Fine-Tuning。**所以答案是（A）。
B842,基礎模式,科目二（01）生成式 AI 基礎技術,LoRA 微調的優點為何？,（A）降低資源需求；（B）增加資料量；（C）加快硬碟讀取；（D）減少延遲,A｜降低資源需求,LoRA（Low-Rank Adaptation）是一種常見的參數高效微調（PEFT）方法，其做法通常是凍結原始大型模型權重，另外加入可訓練的低秩矩陣（Low-Rank Matrices）來學習模型所需的權重變化。由於實際需要訓練的參數數量大幅減少，因此可降低訓練時的運算與記憶體資源需求，並減少每個微調版本所需儲存的參數量。,可以把 LoRA 想成「不去修改整本厚重的原始模型，而是在旁邊加一本很薄的修正筆記」。例如原始模型有數十億參數，LoRA 會把大部分參數凍結，只訓練少量低秩矩陣，因此不需要像 Full Fine-tuning 那樣更新所有權重。它的主要優勢不是增加資料，也不是加快硬碟，而是讓大型模型微調所需的 GPU 記憶體與運算成本降低。**凍結原模型＋訓練少量低秩參數＝LoRA 降低資源需求。**所以答案是（A）。
B843,基礎模式,科目二（01）生成式 AI 基礎技術,生成式 AI 在教育領域遭到濫用時，可能導致下列何種問題？,（A）學術不端；（B）網路塞車；（C）伺服器降速；（D）螢幕損壞,A｜學術不端,生成式 AI 在教育領域若遭到不當使用，可能造成代寫作業、抄襲、未經查證直接提交 AI 生成內容等學術不端（Academic Misconduct）問題，進而影響學習成效與評量公平性。網路塞車、伺服器降速或螢幕損壞屬於技術或硬體問題，並非生成式 AI 在教育情境中最具代表性的倫理風險。,可以把這題想成「AI 幫學生學習可以，但如果直接代替學生完成作業，就可能變成學術不端」。例如學生沒有理解內容，就直接把 AI 生成的報告當成自己的作品繳交，或用 AI 代寫考試答案，都可能涉及抄襲、作弊與違反學術誠信。**生成式 AI 被拿來代寫、作弊、冒充本人作品＝學術不端。**所以答案是（A）。
