題號,模式,範圍,題目,選擇題,答案,官方解釋,教師解釋
O172,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,所有在 Gemini 應用程式透過 Veo 生成的影片，皆採用何種技術措施來協助企業用戶應對 AI 生成內容可能帶來的不實資訊風險？,（A）嚴格限制所有用戶每日的影片生成次數與使用時間；（B）在所有生成影片的開頭與結尾處強制加入明顯的 AI 標示警語；（C）要求所有影片輸出時必須附帶至少 10 秒的免責聲明片段；（D）使用 SynthID 技術在每一幀（frame）影片中嵌入不可見的數位浮水印,D｜使用 SynthID 技術在每一幀（frame）影片中嵌入不可見的數位浮水印,SynthID 是 Google DeepMind 開發的 AI 生成內容數位浮水印技術，可將人眼難以察覺的訊號嵌入生成內容中。Google DeepMind 說明，SynthID 用於 Veo 生成影片時會對生成影片的每一幀加入數位浮水印，以協助後續辨識內容是否由 Google AI 生成，因此答案是（D）。,可以把 SynthID 想成「影片表面看不到，但每一幀裡都藏著 AI 生成的身分記號」。它不像在影片前面放「本片由 AI 製作」的警語，而是將不可見的 Digital Watermark 嵌入影像內容中，之後可以用相關偵測技術判斷是否帶有 SynthID。Google 也已將 SynthID 應用於 Veo 生成內容。**每一幀嵌入不可見數位浮水印＝SynthID。**所以答案是（D）。
O173,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某保險公司想建立智慧理賠系統，包含兩個功能：(1)自動判斷理賠案件是否為詐欺案件 (2)自動生成理賠調查報告。請問這兩個功能分別屬於哪種 AI 技術類型？,（A）(1)鑑別式 AI (2)生成式 AI；（B）(1)生成式 AI (2)鑑別式 AI；（C）兩者都是鑑別式 AI；（D）兩者都是生成式 AI,A｜(1)鑑別式 AI (2)生成式 AI,鑑別式 AI（Discriminative AI）主要用來判斷、分類或預測輸入資料所屬的結果，例如判定理賠案件是否屬於詐欺；生成式 AI（Generative AI）則可根據既有資訊產生新的文字、影像或其他內容，例如自動撰寫理賠調查報告。因此答案是（A）。,可以把兩種 AI 直接記成：鑑別式 AI 負責「判斷」，生成式 AI 負責「產生」。功能（1）要判斷案件是「詐欺／非詐欺」，本質上是分類問題，所以是 Discriminative AI；功能（2）要根據案件資料寫出一份新的調查報告，則屬於 Generative AI。**分類、預測＝鑑別式；產生新內容＝生成式。**所以答案是（A）。
O174,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,"某大型製造工廠導入生成式 AI 系統來優化能源消耗，每日需處理約 10 萬筆設備數據並生成能源優化建議。系統每月 API 調用成本約 15 萬元，內部維護人力成本8 萬元，基礎設施成本 5 萬元。該工廠評估導入效益時，下列哪一項總體擁有成本（Total Cost of Ownership, TCO）分析最完整？",（A）主要以 API 調用成本 15 萬元作為 TCO 評估基礎；（B）以 API 調用成本 15 萬元及維護人力成本 8 萬元進行整體估算；（C）綜合 API 調用、維護人力與基礎設施等直接成本進行評估，共約 28 萬元；（D）除直接成本外，並考量訓練、系統整合與資安合規等相關支出,D｜除直接成本外，並考量訓練、系統整合與資安合規等相關支出,"總體擁有成本（Total Cost of Ownership, TCO）不應只計算 API、維護人力與基礎設施等目前可見的直接成本，還應納入系統生命週期中的其他相關支出，例如人員訓練、資料準備、系統整合、資安與法遵、維護升級、監控與治理等。因此最完整的 TCO 分析是（D）。",可以把 TCO 想成「這套 AI 從導入到長期使用，到底總共要花多少錢」。題目列出的 API 15 萬＋人力 8 萬＋基礎設施 5 萬，的確已經是每月 28 萬元，但這還不是完整 TCO；公司可能還要付教育訓練、資料整理、既有系統串接、資安稽核、法遵與後續升級維護等成本。選項（C）只是把目前已知直接成本加總，而（D）才真正考慮完整生命週期。**直接成本＋整合＋訓練＋資安法遵＋維護等長期支出＝完整 TCO。**所以答案是（D）。
O175,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,"某機構計畫導入生成式 AI 旅遊資訊服務對話系統自動生成多語言對話。目前每月需人工翻譯 600 則訊息，每則成本 50 元；若改用 ChatGPT API，每則訊息需 2000Tokens，而 Token 成本 0.8 元/1000 Tokens，但需額外投入系統整合費用 20 萬元。關於投資報酬率（Return on Investment, ROI）評估，下列何者最為正確？","（A）每月節省成本 29,040 元，系統整合成本約 7 個月回收；（B）每月節省成本 30,000 元，系統整合成本約 7 個月回收；（C）每月節省成本 28,040 元，系統整合成本約 8 個月回收；（D）每月節省成本 25,000 元，系統整合成本約 8 個月回收","A｜每月節省成本 29,040 元，系統整合成本約 7 個月回收","人工翻譯成本為每月 600 × 50＝30,000 元；使用 ChatGPT API 時，每則訊息 2,000 Tokens，依 0.8 元／1,000 Tokens 計算，每則成本為 1.6 元，因此每月 API 成本為 600 × 1.6＝960 元。每月可節省 30,000－960＝29,040 元，系統整合成本 200,000 ÷ 29,040 ≈ 6.89 個月，約 7 個月可回收，因此答案是（A）。","這題就是把「原本每月花多少－導入 AI 後每月花多少＝每月節省成本」算出來。人工翻譯每月是 600×50＝30,000 元；API 每則 2,000 Tokens，相當於 2×0.8＝1.6 元，600 則就是 960 元，所以每月省下 29,040 元。再用一次性的 20 萬元整合費除以每月節省金額：200,000÷29,040 約等於 6.9 個月，因此約 7 個月回本。每月省 29,040 元＋回收期約 7 個月＝（A）。"
O176,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某支付平台為了強化洗錢行為檢測，計劃導入生成式 AI 技術來輔助分析可疑交易模式。該平台擁有大量歷史交易記錄和已知洗錢案例資料，希望 AI 能自動生成可疑交易的特徵描述報告。下列哪一種生成式 AI 技術最適合此需求？,（A）使用 Midjourney 生成交易流程圖像；（B）採用 Few-shot Learning 訓練圖像識別模型；（C）運用 RAG 檢索增強生成技術結合歷史案例資料庫；（D）直接使用 ChatGPT 的基礎模型進行分析,C｜運用 RAG 檢索增強生成技術結合歷史案例資料庫,RAG（Retrieval-Augmented Generation）可先從歷史交易紀錄、已知洗錢案例與相關知識庫中檢索與目前可疑交易最相關的資料，再將這些資訊提供給生成式 AI 產生特徵描述或分析報告。相較於直接使用基礎模型，RAG 能讓生成內容更依據企業既有案例與內部資料，因此答案是（C）。,可以把這題想成「先從過去洗錢案例裡找相似案件，再讓 AI 根據找到的資料寫報告」。例如某筆交易出現短時間內多次跨境轉帳，RAG 可以先從歷史案例庫找出類似模式，再讓 LLM 整理成「可疑特徵、相似案例、可能風險」等描述。Midjourney 是做圖像生成；Few-shot 圖像模型與這個文字分析需求不符；直接使用基礎 ChatGPT 又沒有接上企業自己的歷史案件。**歷史案例檢索＋生成分析報告＝RAG。**所以答案是（C）。
O177,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某紡織公司希望建立自動化品質檢測流程，既有的 AI 系統檢測到布料瑕疵時，需自動拍照存檔、發送通知給品管人員。該公司具有一定開發人力，希望快速建置此工作流程，並保有彈性調整空間，下列哪一種解決方案最適合？,（A）使用 n8n 建立工作流（Workflow），整合 AI 檢測 API、檔案系統、通訊軟體；（B）委外開發客製化程式，完全符合公司需求規格；（C）採購現成的品質管理軟體，直接導入使用；（D）使用 Excel 巨集搭配人工作業處理檢測結果,A｜使用 n8n 建立工作流（Workflow），整合 AI 檢測 API、檔案系統、通訊軟體,n8n 是一種工作流程自動化（Workflow Automation）平台，可透過節點與 API 串接不同系統，例如 AI 瑕疵檢測服務、相機或檔案儲存系統，以及 Email、Slack、LINE 等通知工具。題目中公司已有一定開發能力，又希望快速建置且保留後續調整彈性，因此使用 n8n 整合各服務最符合需求，答案是（A）。,可以把 n8n 想成「把原本分散的系統串成一條自動流程」。例如 AI 偵測到瑕疵後，n8n 可以自動觸發拍照、把照片存進指定資料夾，再通知品管人員，不需要每一步都人工處理。委外客製化雖然彈性高，但開發時間與成本通常更高；現成軟體可能不易配合既有 AI 系統；Excel 巨集也不適合這種跨 API、跨系統的即時自動化。**事件觸發＋API 串接＋流程自動化＝n8n。**所以答案是（A）。
O178,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某市政府交通局計劃導入生成式 AI 技術來自動生成公車到站時間預測的文字報告，每日需處理約 50 萬筆交通資料並生成 1000 份報告。在評估導入成本時，團隊希望進行 Token Economics 分析（指模型推理與生成過程中，Token 使用量及其費用）。下列何者不屬於 Token Economics 的考量範圍？,（A）每次 API 呼叫所需的輸入 Token 數量；（B）生成報告內容所消耗的輸出 Token 費用；（C）AI 模型訓練階段使用 Token 數量所需的 GPU 記憶體成本；（D）模型推理過程中的 Token 使用量統計,C｜AI 模型訓練階段使用 Token 數量所需的 GPU 記憶體成本,Token Economics 在此題中主要關注模型推理與生成階段的 Token 使用量及其對 API 或服務成本的影響，例如輸入 Token 數量、輸出 Token 數量及推論過程的 Token 使用統計。模型訓練階段所需的 GPU 記憶體屬於模型訓練與基礎設施成本，不屬於此題所定義的 Token Economics 範圍，因此答案是（C）。,"可以把 Token Economics 想成「每次叫模型讀多少字、寫多少字，最後要付多少錢」。例如每份報告輸入 5,000 Tokens、輸出 1,000 Tokens，就可以依 API 的 input／output Token 單價估算每日或每月成本。選項（A）（B）（D）都直接與推論時 Token 用量有關；但 GPU 訓練記憶體是訓練基礎設施成本，不是這題所說的 Token 計費分析。**Input Tokens＋Output Tokens＋推論用量＝Token Economics；訓練 GPU 記憶體成本不是。**所以答案是（C）。"
O179,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某農業合作社希望建立一套自動化工作流程，當農民透過手機 APP 回報田間病蟲害照片時，系統能自動通知相關專家、建立案件紀錄並排程現場訪查。該合作社IT 資訊人力有限，僅有一位具備基礎程式概念的人員。下列哪一種開發方式最適合此需求？,（A）採用傳統程式開發，從零開始撰寫完整系統；（B）使用純粹的 No-Code 平台，完全不需要任何程式技能；（C）使用 Low-Code 平台，結合視覺化拖拉與少量程式碼；（D）直接購買現成的農業管理軟體，不進行客製化,C｜使用 Low-Code 平台，結合視覺化拖拉與少量程式碼,Low-Code 平台透過視覺化拖拉元件、流程設計與既有連接器降低開發門檻，同時允許開發者加入少量程式碼進行客製化，因此適合 IT 人力有限、但仍需要串接通知、案件紀錄與排程等多項流程的情境。題目中已有一位具備基礎程式概念的人員，使用 Low-Code 能兼顧快速開發與彈性，因此答案是（C）。,可以把 Low-Code 想成「大部分用拖拉完成，遇到特殊需求再補一點程式碼」。例如農民上傳照片後，可以用流程元件自動建立案件、寄通知給專家、連接行事曆安排訪查；如果某些農業系統沒有現成 Connector，再由那位懂基礎程式的人補 API 串接即可。純 No-Code 雖然更簡單，但遇到特殊整合時彈性可能不足；傳統開發則太耗人力。**少量 IT 人力＋需要客製化整合＝Low-Code。**所以答案是（C）。
O180,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某市政府環保局想建立一個垃圾分類查詢系統，讓民眾輸入物品名稱後自動判斷分類。由於垃圾種類繁多，但每種分類的訓練範例有限，工程師決定採用少樣本學習（Few-shot Learning）技術。下列何者為少樣本學習（Few-shot Learning）的主要特徵？,（A）需重新蒐集大規模標註資料，以確保模型具備穩定表現；（B）透過少量任務示例，引導模型適應新情境或新分類需求；（C）不需任何範例輸入，即可完成新任務推論；（D）僅適用於自然語言處理任務，對其他模態效果有限,B｜透過少量任務示例，引導模型適應新情境或新分類需求,少樣本學習（Few-shot Learning）的核心，是在只有少量標註樣本或任務示例的情況下，讓模型利用既有知識快速適應新的分類或任務。它不需要重新蒐集大量標註資料，也不同於完全不提供範例的 Zero-shot Learning，因此答案是（B）。,可以把 Few-shot Learning 想成「只給 AI 看幾個例子，它就要學會怎麼判斷新的東西」。例如「寶特瓶→資源回收」、「衛生紙→一般垃圾」、「電池→有害／特定回收」各給少量示例，再讓模型判斷新的物品名稱。選項（C）完全不給範例，那是 Zero-shot；（D）也錯，Few-shot 不只可用在 NLP，也可應用於影像等其他領域。**少量示例＋快速適應新任務＝Few-shot Learning。**所以答案是（B）。
O181,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某有機農場累積了十年的病蟲害防治紀錄文件，包含不同作物的病害症狀描述、防治方法和效果評估。農場主人希望建立一個 AI 助手，能根據農民描述的作物症狀，快速提供相關的防治建議和歷史案例。下列哪一種技術最適合解決這個需求？,（A）直接使用 ChatGPT 的預訓練知識回答農業問題；（B）將所有文件內容加入 ChatGPT 的系統提示詞中；（C）採用 RAG 技術，將農場文件建立向量資料庫，結合大語言模型生成回答；（D）使用少樣本學習（Few-shot Learning），在提示詞中提供 3-5 個病害案例,C｜採用 RAG 技術，將農場文件建立向量資料庫，結合大語言模型生成回答,RAG（Retrieval-Augmented Generation）適合將企業或組織既有的專屬文件轉換成可檢索的知識來源，系統會先依使用者問題從文件中找出最相關內容，再交由大型語言模型生成回答。題目中的十年病蟲害紀錄屬於農場專屬知識，建立向量資料庫後搭配 RAG，可同時提供防治建議與相似歷史案例，因此答案是（C）。,可以把 RAG 想成「先從農場自己的十年紀錄裡找答案，再讓 AI 幫你整理成好懂的建議」。例如農民說「番茄葉片出現褐色斑點」，系統可以先找出過去相似症狀、當時採用的防治方式與效果，再由 LLM 整理成建議。直接用 ChatGPT 預訓練知識不一定知道這個農場自己的案例；把所有文件塞進 System Prompt 也不實際；Few-shot 只給幾個例子，無法充分利用十年資料。**專屬文件知識庫＋檢索＋生成＝RAG。**所以答案是（C）。
O182,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,隨著企業加速導入 AI，No-Code/Low-Code 平台逐漸成為模型開發與產品化的常見工具。相較於傳統自行撰寫程式的建模流程，下列何者最能正確描述此類平台在模型訓練機制上的典型特性？,（A）透過視覺化介面與標準化流程，協助完成模型訓練與調校；（B）主要提供既有模型推論能力，通常不支援重新訓練；（C）著重資料處理與轉換，模型訓練仍需外部工具完成；（D）多數僅適用於特定大數據框架（如 Spark）的訓練流程,A｜透過視覺化介面與標準化流程，協助完成模型訓練與調校,No-Code／Low-Code 平台通常透過視覺化介面、預先定義的模組與標準化流程，降低模型開發與訓練的技術門檻，部分平台可進一步支援資料準備、模型選擇、訓練、超參數調整與部署。因此，相較於完全自行撰寫程式，這類平台的典型特性是以視覺化與標準化方式協助完成模型訓練與調校，答案是（A）。,可以把 No-Code／Low-Code 建模想成「原本要自己寫很多程式，現在改成用介面一步一步設定」。例如選擇資料欄位、指定預測目標、挑模型或讓平台自動比較，再查看 Accuracy、F1-score 等結果，有些平台還能直接調參數與部署。選項（B）（C）把平台能力說得太侷限；（D）也不對，這類平台並不是只能搭配 Spark。**視覺化操作＋標準化訓練流程＋降低開發門檻＝No-Code／Low-Code 的典型特性。**所以答案是（A）。
O183,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某醫療院所希望改善行政效率，規劃讓各科室人員可自行建立行政回報與內部申請表單，並導入 AI 功能以自動判讀與分類填寫內容（如問題類型或需求性質），同時需兼顧流程調整彈性與降低系統開發維運負擔。下列哪一種技術組合最適合？,（A）Low-Code 平台 × 預訓練語言模型 API；（B）No-Code 平台 × 規則式自動化（Rule-based Automation）；（C）傳統程式開發 × 自建深度學習模型；（D）試算表工具 × 手動資料標記分析,A｜Low-Code 平台 × 預訓練語言模型 API,Low-Code 平台能透過視覺化介面與流程元件，讓各科室快速建立表單、申請流程與行政應用，同時保留一定程度的客製化彈性；再搭配預訓練語言模型 API，可直接利用既有語言理解能力，進行文字內容的分類、判讀與摘要，不必自行訓練大型模型。此組合能兼顧快速開發、流程彈性與較低維運負擔，因此答案是（A）。,可以把這題拆成兩個需求：「行政流程誰來做？文字內容誰來判讀？」表單、簽核、回報流程可以交給 Low-Code，讓各科室快速調整；填寫內容像「設備故障、排班問題、採購需求」的自動分類，則交給預訓練 LLM API。選項（B）的規則式自動化遇到自由文字容易不夠彈性；（C）從零自建系統與模型成本太高；（D）仍高度依賴人工。**流程快速建置＝Low-Code；自然語言理解＝預訓練 LLM API。**所以答案是（A）。
O184,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某企業導入 No-Code/Low-Code 平台開放各部門自行開發應用。半年後發現：出現多個功能相近系統、資料欄位定義不一致，且部分應用未經審核即上線，並伴隨權限與維運管理混亂。下列何者最可能為根本問題？,（A）缺乏統一的開發與上線管理機制；（B）平台提供過高的應用設計自主性；（C）部門未建立共用的資料分析呈現標準；（D）系統整合與自動化能力尚未完善,A｜缺乏統一的開發與上線管理機制,當 No-Code／Low-Code 開放各部門自行開發後，若出現重複系統、資料定義不一致、應用未審核即上線以及權限與維運混亂，通常反映企業缺乏統一的開發治理、審查、發布與生命週期管理制度。若沒有明確規範誰可以開發、資料欄位如何標準化、上線前如何審核及後續由誰維護，就容易產生上述問題，因此答案是（A）。,可以把這題想成「不是大家太會做，而是公司沒有訂共同規則」。例如行銷部做一套客戶系統、業務部又做另一套，兩邊連「客戶編號」欄位定義都不同，甚至做好就直接上線，最後自然會出現重複功能、權限混亂與沒人維護。平台自主性本身不是根本問題，真正關鍵是有沒有建立開發標準、資料標準、審核流程、權限制度與維運責任。**Citizen Development 沒有 Governance＝系統快速增加但管理失控。**所以答案是（A）。
O185,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,在生成式 AI 文字生成模型設計中，Encoder–Decoder 與 Decoder-only 為常見架構。下列何者最能正確說明兩者在資訊處理與生成機制上的核心差異？,（A）Encoder–Decoder 透過編碼與解碼階段處理序列，Decoder-only 則以單一模型完成處理；（B）Encoder–Decoder 區分輸入理解與內容生成階段，Decoder-only 以單一模型同時處理上下文與生成；（C）Decoder-only 架構主要依賴外部知識檢索，Encoder–Decoder 則不需要；（D）Encoder–Decoder 架構僅適用於翻譯任務，Decoder-only 架構較適合對話任務,B｜Encoder–Decoder 區分輸入理解與內容生成階段，Decoder-only 以單一模型同時處理上下文與生成,Encoder–Decoder 架構會將輸入處理與輸出生成分成兩個主要階段：Encoder 負責將輸入序列轉換成語意表示，Decoder 再根據該表示與先前已生成內容逐步產生輸出；Decoder-only 架構則使用單一 Decoder 堆疊，同時處理提示上下文並以自迴歸方式持續生成後續 Token。因此答案是（B）。,可以把兩者想成「Encoder–Decoder 是先讀懂、再作答；Decoder-only 是在同一套模型裡一邊讀上下文、一邊接著生成」。例如翻譯模型常見做法是 Encoder 先理解原文，再由 Decoder 產生譯文；GPT 類模型則屬 Decoder-only，直接把 Prompt 當成前文，接著逐 Token 往下生成。選項（A）方向接近，但「單一模型完成處理」描述太籠統；（B）更精確點出輸入理解與生成是否分成不同模組。所以答案是（B）。
O186,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某連鎖零售企業使用生成式 AI 協助規劃門市補貨策略。決策時需同時考量多項彼此相關的因素，例如：庫存水位、促銷活動、區域銷售差異與物流限制。專案團隊發現，AI 雖能逐步說明推論過程，但對於多條件之間的相互影響掌握不足，導致建議結果偶有偏差。若希望透過提示工程（Prompt Engineering）改善此問題，下列哪一種策略最為適合？,（A）Chain of Thought，要求模型逐步展開推論；（B）Tree of Thoughts，增加多種推論路徑探索；（C）Graph Prompting，以結構化方式呈現條件與關聯；（D）Zero-shot Prompting，避免範例影響模型判斷,C｜Graph Prompting，以結構化方式呈現條件與關聯,Graph Prompting 適合處理多個條件、實體或變數之間具有非線性與交互關係的問題，可用結構化方式表達節點與關聯，幫助模型同時掌握不同因素間的依賴與影響。題目中的庫存、促銷、區域銷售與物流限制彼此相互作用，因此比單純線性推理的 Chain of Thought 更適合使用 Graph Prompting，答案是（C）。,可以把這題想成「問題不是不會一步一步想，而是很多條件彼此會互相影響」。例如促銷會提高銷量，銷量會影響庫存，但物流限制又會影響補貨速度，區域差異還會讓每家門市狀況不同；這不是一條直線，而是一張關係網。CoT 適合線性逐步推理，ToT 適合比較多條可能路徑，但這題核心是多條件之間的關聯結構。所以用 Graph Prompting 把「庫存↔促銷↔銷售↔物流」明確表示最合適，答案是（C）。
O187,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某電商平台導入生成式 AI 客服助理，用於自動回覆顧客詢問。營運需求包含：需即時反映每日更新的促銷活動與商品資訊，同時維持品牌一致的回覆語氣，且企業希望避免因模型重新訓練所造成的成本增加與系統不穩定。在此情境下，下列哪一種技術策略最合理？,（A）僅進行 Fine-tuning，使模型同時學習品牌語氣與即時促銷內容；（B）僅導入 RAG 更新促銷資訊，期望模型直接從檢索內容學習品牌語氣；（C）透過 Prompt Engineering 控制回覆風格，並以 RAG 引入最新商品與活動資訊；（D）持續進行增量 Fine-tuning，以確保活動資訊同步更新,C｜透過 Prompt Engineering 控制回覆風格，並以 RAG 引入最新商品與活動資訊,若企業需要每日即時更新促銷活動與商品資訊，最適合透過 RAG（Retrieval-Augmented Generation）從外部知識來源即時檢索最新內容；至於品牌語氣與回覆格式，可透過 Prompt Engineering 設定明確的角色、語調與輸出規則。這樣不必因促銷內容頻繁變動而持續重新訓練模型，可兼顧即時性、品牌一致性與維運穩定性，因此答案是（C）。,可以把這題記成「常變的知識交給 RAG，固定的說話方式交給 Prompt」。例如每天促銷商品不同，就讓 RAG 去抓最新活動資料；但客服永遠要維持「親切、簡潔、不誇大」的品牌語氣，就寫進 Prompt 裡控制。選項（A）（D）都需要頻繁 Fine-tuning，成本高又容易造成版本不穩；（B）則錯在 RAG 主要補知識，不是專門拿來學品牌語氣。**最新資訊＝RAG；品牌風格＝Prompt Engineering。**所以答案是（C）。
O188,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某企業規劃導入生成式 AI 助理，在正式全面部署前進行概念驗證（PoC），下列何者最不適合作為此階段的主要工作？,（A）驗證模型在實際使用情境下的回覆品質與穩定性；（B）測試 AI 功能與業務需求的匹配程度；（C）制定跨部門使用規範，與長期治理框架；（D）評估系統整合可行性與技術限制,C｜制定跨部門使用規範，與長期治理框架,PoC（Proof of Concept）階段的核心目的是以小規模方式快速驗證 AI 解決方案是否具有技術可行性、業務價值與實際應用效果，因此通常會測試模型品質、需求匹配程度、系統整合能力與技術限制。跨部門長期使用規範與完整治理框架較屬於後續正式部署與規模化營運階段，因此最不適合作為 PoC 階段主要工作的為（C）。,可以把 PoC 想成「先證明這東西做不做得到、值不值得做，再談全公司怎麼管」。這個階段要先測 AI 回答準不準、能不能解決實際問題、能不能接上現有系統，這些都是 PoC 的重點。至於跨部門權限、長期稽核、完整治理制度，當然很重要，但通常是在驗證可行之後、準備正式擴大部署時才會完整建立。**PoC＝先驗證可行性與價值；長期治理＝正式部署後的重要工作。**所以答案是（C）。
O189,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某企業規劃導入生成式 AI 客服系統，需處理顧客查詢並引用歷史交易資料。法遵部門在風險評估中指出，系統若不當處理顧客個人資料，可能引發合規與法律責任。若專案初期希望從資料層面降低敏感資訊暴露風險，下列敘述何者最為合理？,（A）強化模型輸出審查與遮罩機制，以過濾可能出現的敏感資訊；（B）設定 AI 回覆範圍與角色權限，限制其存取特定類型資料；（C）將資料集中於加密儲存環境，並加強系統存取控管；（D）僅提供必要資料或數據欄位與去識別化策略，減少模型接觸可識別個資,D｜僅提供必要資料或數據欄位與去識別化策略，減少模型接觸可識別個資,若希望從資料層面降低個人資料暴露風險，應遵循資料最小化（Data Minimization）原則，只提供完成客服任務所必要的欄位，並搭配去識別化（De-identification）處理，降低模型直接接觸姓名、聯絡方式、身分識別資訊等敏感個資的機會。因此答案是（D）。,可以把這題想成「最有效的第一層防護，就是不要把不需要的個資交給 AI」。例如客服只需要知道訂單編號、商品與交易狀態，就不一定要把完整姓名、電話、地址全部送進模型；能刪除、遮罩或代碼化的欄位就先處理。選項（A）（B）（C）都屬於重要防護措施，但題目特別強調「從資料層面」降低暴露風險，因此 必要資料最小化＋去識別化最符合要求。所以答案是（D）。
O190,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某企業導入大型語言模型（LLM）進行客服自動化，並已透過 Fine-Tuning 學習企業標準問答範例，但在實務運作中仍出現回應策略未符合服務優先順序及語氣與品牌風格不一致的情況，因此技術團隊建議再導入 Reinforcement Fine-tuning（RFT）機制進行優化，其主要目的為何？,（A）擴展模型的知識涵蓋範圍與資料記憶能力；（B）透過 reward 訊號調整模型回應策略與行為偏好；（C）提升模型推論速度與降低回應延遲；（D）降低 prompt 設計複雜度並取代訓練流程,B｜透過 reward 訊號調整模型回應策略與行為偏好,Reinforcement Fine-tuning（RFT）的核心，是利用可評估的獎勵（Reward）訊號來強化模型較理想的回應策略與行為，使模型逐步偏向符合任務目標、服務優先順序或特定偏好的輸出。它主要不是擴充模型知識，也不是用來提升推論速度，因此答案是（B）。,可以把 RFT 想成「模型已經會回答了，現在再用獎勵機制教它『怎樣回答比較符合公司要求』」。例如客服遇到客訴時，公司希望模型先處理安全與退款問題，再推薦其他方案；如果回答順序符合規範就給較高 Reward，不符合就給較低分，模型就會逐步調整行為策略。Fine-tuning 比較像教模型「怎麼回答這類問題」，RFT 則更強調哪種回應行為比較值得被強化。所以答案是（B）。
O191,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,企業在評估 AI 決策模型是否存在資料分布偏差時，下列何者最屬於偏見檢測（Bias Detection）而非偏見緩解（Bias Mitigation）措施？,（A）比較不同資料分布的模型預測結果分布與錯誤率；（B）重新加權訓練樣本以平衡資料分布代表性；（C）在推論階段加入輸出過濾規則；（D）調整模型決策閾值（Decision Threshold）以降低預測差異,A｜比較不同資料分布的模型預測結果分布與錯誤率,偏見檢測（Bias Detection）的目的，是先量測與辨識模型是否對不同群體、資料分布或子群產生不一致的預測結果，例如比較各群體的預測分布、Accuracy、Precision、Recall、False Positive Rate 或 False Negative Rate 等差異。重新加權樣本、調整決策閾值或加入輸出規則則屬於發現偏差後的修正措施，因此答案是（A）。,可以把 Bias Detection 想成「先檢查有沒有不公平，再決定怎麼改」。例如比較不同性別、年齡層或地區客戶的核准率與錯誤率，如果某一群的 False Negative 明顯較高，就可能存在偏差。選項（B）重新加權、（C）加過濾規則、（D）調 Threshold 都是在「動手修正」，屬於 Bias Mitigation。**先比較、先量測＝Detection；重新加權、調門檻＝Mitigation。**所以答案是（A）。
O192,官方考題模式,官方模擬考｜115年第一次｜第二科：生成式 AI 應用與規劃,某企業希望利用含敏感資訊的資料進行 AI 模型訓練，但政策要求原始資料不得外洩，且資料可集中於安全環境中處理。同時，企業希望在資料使用過程中，即使資料處於加密狀態，仍能完成模型計算。在此需求下，下列哪一種技術最為適合？,（A）聯邦學習（Federated Learning）；（B）同態加密（Homomorphic Encryption）；（C）零知識證明（Zero-knowledge Proof）；（D）資料匿名化（Data Anonymization）,B｜同態加密（Homomorphic Encryption）,同態加密（Homomorphic Encryption）可讓系統直接對加密資料進行特定計算，而不必先將資料解密成明文，計算完成後再由具有適當金鑰的一方解密結果。題目已指出資料可集中處理，且特別要求「資料保持加密狀態仍能完成計算」，因此答案是（B）。,可以把 Homomorphic Encryption 想成「資料鎖著也能算，算完再把結果解鎖」。例如敏感金融或醫療資料先加密後交給運算環境，系統不必看到原始明文，就能對加密資料執行特定運算。Federated Learning 的重點是資料分散在各地、不集中；Zero-Knowledge Proof 是證明某件事成立而不揭露秘密；Anonymization 則是降低識別性。**加密狀態下仍可運算＝Homomorphic Encryption。**所以答案是（B）。
